Orden,Preparación,Calidad,QQs Netos,Línea,Fecha,Turno,Analista,Operador,Hora,"% entrada
(Trillo)",Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Def. Prim.,Def. Dens.,Def. Otros,Total Def.,% de salida,Observaciones,Prom % de salida,Prom % de Pérdida,Vueltas Ponderadas
X Z 1/2,Love 16,Lift Leve, 973.54 ,Línea 2,10/5/2020,Turno 1,Juan S.,Michael,03:30 p. m.,6.10%,8.00,0.80,6.00,14.80,4.60%,12.00,0.00,5.80,17.80,4.20%,66.00,0.00,23.40,89.40,8.70%,,5%,19.51%,7.512796134
X Z 1/2,Love 16,Lift Leve, 973.54 ,Línea 2,10/6/2020,Turno 1,Juan S.,Michael,07:00 a. m.,6.00%,12.00,0.40,8.00,20.40,4.06%,23.00,0.40,7.60,31.00,4.50%,72.00,2.60,39.00,113.60,16.10%,,5%,10.43%,7.512796134
X Z 1/2,Love 16,Lift Leve, 973.54 ,Línea 2,10/6/2020,Turno 1,Juan S.,Michael,10:00 a. m.,5.90%,12.00,0.00,7.20,19.20,4.00%,12.00,0.00,7.80,19.80,4.10%,36.00,0.00,27.40,63.40,11.40%,,5%,19.24%,7.512796134
X Z 1/2,Love 16,Lift Leve, 973.54 ,Línea 2,10/6/2020,Turno 1,Juan S.,Michael,12:00 p. m.,7.40%,6.00,0.40,11.40,17.80,5.90%,11.00,0.00,7.40,18.40,3.70%,72.00,0.80,41.20,114.00,16.60%,,6%,13.24%,7.512796134
X Z 1/2,Love 16,Lift Leve, 973.54 ,Línea 2,10/7/2020,Turno 1,Juan S.,Michael,09:00 a. m.,8.10%,22.00,0.00,5.20,27.20,4.00%,10.00,0.00,8.80,18.80,4.40%,72.00,0.60,24.40,97.00,7.12%,,4%,45.53%,7.512796134
X Z 1/2,Love 16,Lift Leve, 973.54 ,Línea 2,10/7/2020,Turno 1,Juan S.,Michael,11:00 a. m.,9.90%,12.00,0.20,3.60,15.80,3.60%,16.00,0.00,6.80,4.20,4.20%,0.80,23.80,75.60,100.20,6.99%,,4%,58.70%,7.512796134
X Z 1/2,Love 16,Lift Leve, 973.54 ,Línea 2,10/7/2020,Turno 1,Juan S.,Michael,01:00 p. m.,10.00%,19.00,0.40,6.00,25.40,4.33%,17.00,0.40,7.00,24.40,4.66%,46.00,0.60,20.00,66.60,7.02%,,5%,53.19%,7.512796134
X Z 1/3,Love 16,Lift Leve, 364.16 ,Línea 2,10/10/2020,Turno 1,George Guido,Michael,01:00 p. m.,10.00%,19.00,0.00,12.00,31.00,8.00%,10.00,0.00,22.00,32.00,8.20%,36.00,0.00,46.00,82.00,14.80%,,9%,12.70%,3
X Z 1/3,Love 16,Lift Leve, 364.16 ,Línea 2,10/10/2020,Turno 1,George Guido,Michael,01:00 p. m.,10.00%,19.00,0.00,12.00,31.00,8.00%,10.00,0.00,22.00,32.00,8.20%,36.00,0.00,46.00,82.00,14.80%,,9%,12.70%,3
X Z 1/3,Love 16,Lift Leve, 364.16 ,Línea 2,10/10/2020,Turno 1,George Guido,Michael,01:00 p. m.,10.00%,19.00,0.00,12.00,31.00,8.00%,10.00,0.00,22.00,32.00,8.20%,36.00,0.00,46.00,82.00,14.80%,,9%,12.70%,3
X Z 1/3,Love 16,Lift Leve, 364.16 ,Línea 2,10/10/2020,Turno 1,George Guido,Michael,01:00 p. m.,10.00%,19.00,0.00,12.00,31.00,8.00%,10.00,0.00,22.00,32.00,8.20%,36.00,0.00,46.00,82.00,14.80%,,9%,12.70%,3
X Z 1/3,Love 16,Lift Leve, 364.16 ,Línea 2,10/10/2020,Turno 1,George Guido,Michael,01:00 p. m.,10.00%,19.00,0.00,12.00,31.00,8.00%,10.00,0.00,22.00,32.00,8.20%,36.00,0.00,46.00,82.00,14.80%,,9%,12.70%,3
X Z 1/3,Love 16,Lift Leve, 364.16 ,Línea 2,10/10/2020,Turno 1,George Guido,Michael,01:00 p. m.,10.00%,19.00,0.00,12.00,31.00,8.00%,10.00,0.00,22.00,32.00,8.20%,36.00,0.00,46.00,82.00,14.80%,,9%,12.70%,3
X Z 1/3,Love 16,Lift Leve, 364.16 ,Línea 2,10/10/2020,Turno 1,George Guido,Michael,01:00 p. m.,10.00%,19.00,0.00,12.00,31.00,8.00%,10.00,0.00,22.00,32.00,8.20%,36.00,0.00,46.00,82.00,14.80%,,9%,12.70%,3
X Z 1/4,Love 16,Lapa DamLeve, 627.26 ,Línea 2,10/12/2020,Turno 1,Juan S.,Michael,07:00 a. m.,6.80%,8.00,0.00,12.00,20.00,4.90%,12.00,0.00,11.20,23.20,5.70%,39.00,1.20,34.80,75.00,13.60%,,6%,12.21%,5
X Z 1/4,Love 16,Lapa DamLeve, 627.26 ,Línea 2,10/12/2020,Turno 1,Juan S.,Michael,09:00 a. m.,5.60%,7.00,0.30,10.20,17.50,4.00%,16.00,0.40,12.00,28.40,6.13%,40.00,2.00,30.80,72.80,13.00%,,5%,2.99%,5
X Z 1/6,Love 16,DamLeve," 1,000.00 ",Línea 2,10/14/2020,Turno 1,Juan S.,Michael,07:00 a. m.,10.00%,27.00,0.00,12.20,39.20,6.50%,24.00,0.00,11.80,35.80,6.40%,72.00,1.20,45.00,118.20,18.60%,,8%,23.15%,7.158906304
X Z 1/6,Love 16,DamLeve," 1,000.00 ",Línea 2,10/14/2020,Turno 1,Juan S.,Michael,09:00 a. m.,12.50%,15.00,0.00,9.00,24.00,5.10%,24.00,1.60,15.20,40.80,7.90%,96.00,2.40,46.40,144.80,20.40%,,7%,41.36%,7.158906304
X Z 1/6,Love 16,DamLeve," 1,000.00 ",Línea 2,10/14/2020,Turno 1,Juan S.,Michael,11:00 a. m.,10.50%,24.00,0.00,12.00,36.00,6.10%,45.00,0.60,16.80,62.40,9.00%,95.00,2.40,39.60,137.00,14.20%,,8%,27.29%,7.158906304
X Z 1/9,Super 23 def,Lift Leve," 2,108.98 ",Línea 2,10/22/2020,Turno 1,Juan S.,Michael G,07:00 a. m.,9.30%,9.00,0.00,9.20,18.20,4.20%,12.00,0.00,9.00,21.00,3.33%,33.00,0.20,45.00,78.20,15.80%,,5%,44.70%,4.218619298
X Z 1/9,Super 23 def,Lift Leve," 2,108.98 ",Línea 2,10/22/2020,Turno 1,Juan S.,Michael G,09:00 a. m.,10.10%,15.00,0.00,9.60,24.60,4.60%,15.00,0.00,15.00,30.00,6.00%,45.00,0.00,3.60,48.60,15.00%,,6%,40.69%,4.218619298
X Z 1/9,Super 23 def,Lift Leve," 2,108.98 ",Línea 2,10/22/2020,Turno 1,Juan S.,Michael G,11:00 a. m.,11.20%,18.00,0.00,12.00,30.00,4.70%,21.00,0.00,6.80,27.80,3.40%,40.00,0.60,51.00,91.60,18.10%,,6%,48.97%,4.218619298
X Z 1/9,Super 23 def,Lift Leve," 2,108.98 ",Línea 2,10/24/2020,Turno 1,Juan S.,Michael G,09:00 a. m.,9.10%,18.00,0.00,15.20,33.20,6.40%,24.00,0.00,12.20,36.20,6.20%,78.00,0.00,33.00,111.00,14.20%,,7%,21.65%,4.218619298
X Z 1/9,Super 23 def,Lift Leve," 2,108.98 ",Línea 2,10/26/2020,Turno 1,Juan S.,Michaell F,12:00 p. m.,12.00%,27.00,0.00,9.00,36.00,4.60%,47.00,0.60,15.40,63.00,9.00%,72.00,0.80,39.60,112.40,17.10%,,7%,42.08%,4.218619298
X Z 1/9,Super 23 def,Lift Leve," 2,108.98 ",Línea 2,10/26/2020,Turno 1,Juan S.,Michaell F,02:00 p. m.,9.60%,9.00,0.60,7.00,16.60,3.50%,12.00,0.00,9.80,21.80,5.00%,33.00,0.00,33.00,66.00,13.20%,,5%,49.53%,4.218619298
X Z 1/9,Super 23 def,Lift Leve," 2,108.98 ",Línea 2,10/27/2020,Turno 1,Juan S.,Michael G,07:00 a. m.,9.80%,15.00,0.00,9.00,24.00,4.10%,21.00,0.00,15.00,36.00,6.00%,99.00,2.40,45.00,146.40,18.40%,,6%,38.72%,4.218619298
